ID,Name,Gene Name,GenBank Protein ID,GenBank Gene ID,UniProt ID,Uniprot Title,PDB ID,GeneCard ID,GenAtlas ID,HGNC ID,Species,Drug IDs
1,Peptidoglycan synthase FtsI,ftsI,1574687,L42023,P45059,FTSI_HAEIN,,,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),DB00303
4,Coagulation factor XIII A chain,F13A1,182309,M22001,P00488,F13A_HUMAN,1EVU; 1EX0; 1F13; 1FIE; 1GGT; 1GGU; 1GGY; 1QRK; 4KTY; 5MHL; 5MHM; 5MHN; 5MHO,F13A1,F13A1,HGNC:3531,Humans,DB11300; DB11311; DB11571; DB13151
5,"Nitric oxide synthase, inducible",NOS2,292242,L09210,P35228,NOS2_HUMAN,1NSI; 2LL6; 2NSI; 3E7G; 3EJ8; 3HR4; 4CX7; 4NOS; 5TP6; 5XN3; 6JWM; 6JWN; 6KEY,NOS2,NOS2A,HGNC:7873,Humans,DB08814; DB11327; DB11672
8,"NAD(P) transhydrogenase, mitochondrial",NNT,1110520,U40490,Q13423,NNTM_HUMAN,1DJL; 1PT9; 1U31,NNT,NNT,HGNC:7863,Humans,DB09092
11,"Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial",IDH3A,706839,U07681,P50213,IDH3A_HUMAN,5GRE; 5GRF; 5GRH; 5GRI; 5GRL; 5YVT; 6KDE; 6KDF; 6KDY; 6KE3; 6L57; 6L59; 7CE3; 8GRB; 8GRD; 8GRG; 8GRH; 8GRU; 8GS5,IDH3A,IDH3A,HGNC:5384,Humans,DB09092; DB13874; DB17097
12,Voltage-dependent T-type calcium channel subunit alpha-1I,CACNA1I,5565888,AF129133,Q9P0X4,CAC1I_HUMAN,7WLI; 7WLJ; 7WLK; 7WLL,CACNA1I,CACNA1I,HGNC:1396,Humans,DB00381; DB00568; DB00617; DB00909; DB04841
13,Adenosine receptor A1,ADORA1,256155,S45235,P30542,AA1R_HUMAN,5N2S; 5UEN; 6D9H; 7LD3; 7LD4,ADORA1,ADORA1,HGNC:262,Humans,DB00193; DB00201; DB00277; DB00640; DB00651; DB01223; DB01303; DB04932; DB07776
14,Tyrosine-protein kinase ABL1,ABL1,28237,X16416,P00519,ABL1_HUMAN,1AB2; 1AWO; 1BBZ; 1JU5; 1OPL; 1ZZP; 2ABL; 2E2B; 2F4J; 2FO0; 2G1T; 2G2F; 2G2H; 2G2I; 2GQG; 2HIW; 2HYY; 2HZ0; 2HZ4; 2HZI; 2O88; 2V7A; 3CS9; 3EG0; 3EG1; 3EG2; 3EG3; 3EGU; 3K2M; 3PYY; 3QRI; 3QRJ; 3QRK; 3T04; 3UE4; 3UYO; 4J9B; 4J9C; 4J9D; 4J9E; 4J9F; 4J9G; 4J9H; 4J9I; 4JJB; 4JJC; 4JJD; 4TWP; 4WA9; 4XEY; 4YC8; 4ZOG; 5DC0; 5DC4; 5DC9; 5HU9; 5MO4; 5NP2; 5OAZ; 6AMV; 6AMW; 6BL8; 6NPE; 6NPU; 6NPV; 6XR6; 6XR7; 6XRG; 7CC2; 7DT2; 7N9G; 7PVQ; 7PVR; 7PVS; 7PVV; 7PW2; 7W7X; 7W7Y; 8H7F; 8H7H; 8SSN,ABL1,ABL1,HGNC:76,Humans,DB00619; DB01254; DB04868; DB06616; DB06626; DB08896; DB08901; DB12597
15,High affinity immunoglobulin epsilon receptor subunit alpha,FCER1A,31318,X06948,P12319,FCERA_HUMAN,1F2Q; 1F6A; 1J86; 1J87; 1J88; 1J89; 1RPQ; 2Y7Q; 7SHT; 8C1B; 8C1C; 8Z0T; 9EQ3; 9EQ4,FCER1A,FCER1A,HGNC:3609,Humans,DB00895
16,Coagulation factor VIII,F8,182818,M14113,P00451,FA8_HUMAN,1CFG; 1D7P; 1FAC; 1IQD; 2R7E; 3CDZ; 3HNB; 3HNY; 3HOB; 3J2Q; 3J2S; 4BDV; 4KI5; 4PT6; 4XZU; 5K8D; 6MF0; 6MF2; 7K66; 7KBT; 7KWO; 8G6I; 8TY1; 9D5D,F8,F8,HGNC:3546,Humans,DB00055; DB00100; DB11300; DB11312; DB11571; DB11572; DB12872; DB13133; DB13151; DB13152; DB13933; DB14700
17,Prostaglandin G/H synthase 1,PTGS1,387018,M31822,P23219,PGH1_HUMAN,6Y3C,PTGS1,PTGS1,HGNC:9604,Humans,DB00159; DB00233; DB00244; DB00316; DB00465; DB00573; DB00586; DB00788; DB00795; DB00812; DB00870; DB00936; DB00939; DB00945; DB00963; DB00991; DB01014; DB01050; DB01283; DB01399; DB01401; DB01435; DB01600; DB02266; DB03756; DB04817; DB06725; DB06736; DB06802; DB08814; DB08981; DB09084; DB09212; DB09216; DB11071; DB11079; DB11085; DB11201; DB11323; DB11672; DB13346; DB13783; DB14086
19,30S ribosomal protein S4,rpsD,42798,X02543,P0A7V8,RS4_ECOLI,1EG0; 1M5G; 2YKR; 3J9Y; 3J9Z; 3JA1; 4A2I; 4ADV; 4U1U; 4U1V; 4U20; 4U24; 4U25; 4U26; 4U27; 4V47; 4V48; 4V4H; 4V4Q; 4V4V; 4V4W; 4V50; 4V52; 4V53; 4V54; 4V55; 4V56; 4V57; 4V5B; 4V5H; 4V5Y; 4V64; 4V65; 4V66; 4V69; 4V6C; 4V6D; 4V6E; 4V6K; 4V6L; 4V6M; 4V6N; 4V6O; 4V6P; 4V6Q; 4V6R; 4V6S; 4V6T; 4V6V; 4V6Y; 4V6Z; 4V70; 4V71; 4V72; 4V73; 4V74; 4V75; 4V76; 4V77; 4V78; 4V79; 4V7A; 4V7B; 4V7C; 4V7D; 4V7I; 4V7S; 4V7T; 4V7U; 4V7V; 4V85; 4V89; 4V9C; 4V9D; 4V9O; 4V9P; 4WF1; 4WOI; 4WWW; 4YBB; 5AFI,,,,Escherichia coli (strain K12),DB00256; DB00595; DB01017; DB12329
20,D(1A) dopamine receptor,DRD1,30397,X55760,P21728,DRD1_HUMAN,7CKW; 7CKX; 7CKY; 7CKZ; 7CRH; 7F0T; 7F1O; 7F1Z; 7F23; 7F24; 7JOZ; 7JV5; 7JVP; 7JVQ; 7LJC; 7LJD; 7X2C; 7X2D; 7X2F; 8IRR; 8JXR; 8JXS,DRD1,DRD1,HGNC:3020,Humans,DB00353; DB00477; DB00508; DB00623; DB00679; DB00800; DB00850; DB00875; DB00988; DB01186; DB01235; DB01239; DB01608; DB01621; DB01623; DB01624; DB11160
21,Thymidylate synthase,TMP1,7537304,J04230,P12461,TYSY_CANAL,,,,,Yeast,DB00293; DB00322; DB00432; DB00537; DB00544; DB00642; DB01099; DB01101
23,Vascular endothelial growth factor receptor 3,FLT4,297050,X69878,P35916,VGFR3_HUMAN,4BSJ; 4BSK,FLT4,FLT4,HGNC:3767,Humans,DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079; DB11679; DB11800
24,Amiloride-sensitive sodium channel subunit beta,SCNN1B,1004271,X87159,P51168,SCNNB_HUMAN,6BQN; 6WTH,SCNN1B,SCNN1B,HGNC:10600,Humans,DB00384; DB00594
25,Collagen alpha-1(I) chain,COL1A1,1418928,Z74615,P02452,CO1A1_HUMAN,1Q7D; 2LLP; 3EJH; 3GXE; 5CTD; 5CTI; 5CVA; 5CVB; 5K31; 5OU8; 5OU9; 7E7B; 7E7D,COL1A1,COL1A1,HGNC:2197,Humans,DB00048; DB12872; DB13133
26,Tubulin beta-1 chain,TUBB1,11230445,AJ292757,Q9H4B7,TBB1_HUMAN,,TUBB1,TUBB1,HGNC:16257,Humans,DB00309; DB01229; DB01248; DB06772; DB08871
27,"NADH dehydrogenase [ubiquinone] flavoprotein 3, mitochondrial",NDUFV3,6002197,X99726,P56181,NDUV3_HUMAN,5XTB; 5XTD; 5XTH; 5XTI,NDUFV3,NDUFV3,HGNC:7719,Humans,DB09270
29,Vascular endothelial growth factor receptor 1,FLT1,31432,X51602,P17948,VGFR1_HUMAN,1FLT; 1QSV; 1QSZ; 1QTY; 1RV6; 2XAC; 3HNG; 4CKV; 4CL7; 5ABD; 5EX3; 5T89,FLT1,FLT1,HGNC:3763,Humans,DB00398; DB01268; DB06589; DB06626; DB08896; DB09078; DB09079; DB10770; DB11679; DB11800
30,Cystine/glutamate transporter,SLC7A11,5668545,AB026891,Q9UPY5,XCT_HUMAN,7CCS; 7EPZ; 7P9U; 7P9V,SLC7A11,SLC7A11,HGNC:11059,Humans,DB00740; DB06151
33,Insulin receptor,INSR,307070,M10051,P06213,INSR_HUMAN,1GAG; 1I44; 1IR3; 1IRK; 1P14; 1RQQ; 2AUH; 2B4S; 2HR7; 2MFR; 2Z8C; 3BU3; 3BU5; 3BU6; 3EKK; 3EKN; 3ETA; 3W11; 3W12; 3W13; 4IBM; 4OGA; 4XLV; 4XSS; 4XST; 4ZXB; 5E1S; 5HHW; 5J3H; 5KQV; 5U1M; 6HN4; 6HN5; 6PXV; 6PXW; 6SOF; 6VEP; 6VEQ; 7BW7; 7BW8; 7BWA; 7KD6; 7MQO; 7MQR; 7MQS; 7PG0; 7PG2; 7PG3; 7PG4; 7PHT; 7QID; 7S0Q; 7S8V; 7U6D; 7U6E; 7YQ3; 7YQ4; 7YQ5; 7YQ6; 8DWN; 8GUY; 8U4B; 8U4C; 8U4E; 8VJB; 8VJC,INSR,INSR,HGNC:6091,Humans,DB00030; DB00046; DB00047; DB00071; DB01306; DB01307; DB01309; DB09129; DB09456; DB09564; DB16693
9054,Probable arabinosyltransferase A,embA,,,P9WNL9,EMBA_MYCTU,,,,,Mycobacterium tuberculosis,DB00330
36,RAF proto-oncogene serine/threonine-protein kinase,RAF1,35842,X03484,P04049,RAF1_HUMAN,1C1Y; 1FAQ; 1FAR; 1GUA; 1RFA; 3CU8; 3IQJ; 3IQU; 3IQV; 3KUC; 3KUD; 3NKX; 3O8I; 3OMV; 4FJ3; 4G0N; 4G3X; 4IEA; 4IHL; 6NTC; 6NTD; 6PTS; 6PTW; 6VJJ; 6XGU; 6XGV; 6XHA; 6XHB; 6XI7; 7JHP; 7Z37; 7Z38; 8A68; 8A6F; 8A6H; 8ATR; 8ATS; 8AV0; 8CHF; 8CPD; 8EPW; 8GAE; 8GFT; 8JOF; 8JOG; 8T74; 8T75; 8U1L; 9AXA; 9AXC; 9AY7; 9AYA,RAF1,RAF1,HGNC:9829,Humans,DB00398; DB08896; DB08912; DB11718; DB15266
41,Coagulation factor V,F5,182412,M16967,P12259,FA5_HUMAN,1CZS; 1CZT; 1CZV; 3P6Z; 3P70; 3S9C; 7KVE; 7KVF; 7KXY; 7TPP; 8FDG; 8TN9; 9CTH,F5,F5,HGNC:3542,Humans,DB00055; DB11300; DB11312; DB11571; DB11572; DB13149; DB13151
42,Pyridoxal kinase,PDXK,1946349,U89606,O00764,PDXK_HUMAN,2AJP; 2F7K; 2YXT; 2YXU; 3FHX; 3FHY; 3KEU; 4EN4; 4EOH; 8WR2,PDXK,PDXK,HGNC:8819,Humans,DB00165
43,Endothelin receptor type B,EDNRB,182276,M74921,P24530,EDNRB_HUMAN,5GLH; 5GLI; 5X93; 5XPR; 6IGK; 6IGL; 6LRY; 8HBD; 8HCX; 8IY5; 8IY6; 8XGR; 8XVE; 8XVH,EDNRB,EDNRB,HGNC:3180,Humans,DB00559; DB15059
45,Muscarinic acetylcholine receptor M3,CHRM3,32324,X15266,P20309,ACM3_HUMAN,2CSA; 8E9W; 8E9Y; 8E9Z; 8EA0,CHRM3,CHRM3,HGNC:1952,Humans,DB00185; DB00332; DB00383; DB00387; DB00496; DB00517; DB00572; DB00725; DB00747; DB00986; DB01019; DB01036; DB01062; DB01085; DB01231; DB01409; DB01591; DB01625; DB04843; DB06702; DB06709; DB06787; DB08897; DB09076; DB09089; DB09167; DB09300; DB11181; DB11315; DB12278; DB13262; DB13720; DB15357; DB19325
46,Pyruvate kinase PKLR,PKLR,3327365,AB015983,P30613,KPYR_HUMAN,2VGB; 2VGF; 2VGG; 2VGI; 4IMA; 4IP7; 5SC8; 5SC9; 5SCA; 5SCB; 5SCC; 5SCD; 5SCE; 5SCF; 5SCG; 5SCH; 5SCI; 5SCJ; 5SCK; 5SCL; 5SDT; 6NN4; 6NN5; 6NN7; 6NN8; 7FRV; 7FRW; 7FRX; 7FRY; 7FRZ; 7FS0; 7FS1; 7FS2; 7FS3; 7FS4; 7FS5; 7FS6; 7FS7; 7FS8; 7FS9; 7FSA; 7FSB; 7FSC; 7FSD; 7QDN; 7QZU; 8TBS; 8TBT; 8TBU; 8XFD,PKLR,PKLR,HGNC:9020,Humans,DB16236
47,Solute carrier family 12 member 5,SLC12A5,12003227,AF208159,Q9H2X9,S12A5_HUMAN,6M23; 7D8Z,SLC12A5,SLC12A5,HGNC:13818,Humans,DB00887
