Model,Split,AUROC,AUPRC
DrugBAN,Random,0.9836,0.9796
DrugBAN,Random,0.9801,0.9762
DrugBAN,Random,0.9849,0.9842
DrugBAN,Random,0.9832,0.9828
DrugBAN,Random,0.979,0.978
DrugBAN,Cold,0.8662,0.7957
DrugBAN,Cold,0.8677,0.8472
DrugBAN,Cold,0.8341,0.7882
DrugBAN,Cold,0.8044,0.7372
DrugBAN,Cold,0.8797,0.8041
MolTrans,Random,0.9782,0.9726
MolTrans,Random,0.9816,0.9764
MolTrans,Random,0.9801,0.9793
MolTrans,Random,0.9831,0.9795
MolTrans,Random,0.9793,0.9808
MolTrans,Cold,0.7952,0.7288
MolTrans,Cold,0.8268,0.8281
MolTrans,Cold,0.7477,0.7125
MolTrans,Cold,0.8032,0.7533
MolTrans,Cold,0.8461,0.811
DeepConv-DTI,Random,0.9811,0.9805
DeepConv-DTI,Random,0.9811,0.9822
DeepConv-DTI,Random,0.98,0.9798
DeepConv-DTI,Random,0.9823,0.9835
DeepConv-DTI,Random,0.9769,0.9789
DeepConv-DTI,Cold,0.8391,0.7527
DeepConv-DTI,Cold,0.8895,0.8415
DeepConv-DTI,Cold,0.7934,0.8027
DeepConv-DTI,Cold,0.8063,0.758
DeepConv-DTI,Cold,0.7729,0.7427
GraphDTA,Random,0.9828,0.9853
GraphDTA,Random,0.9818,0.9818
GraphDTA,Random,0.9799,0.9809
GraphDTA,Random,0.9797,0.9811
GraphDTA,Random,0.9799,0.9819
GraphDTA,Cold,0.8627,0.7934
GraphDTA,Cold,0.8429,0.8226
GraphDTA,Cold,0.7707,0.7246
GraphDTA,Cold,0.8296,0.7879
GraphDTA,Cold,0.7728,0.7234
RF,Random,0.9618,0.9612
RF,Random,0.9554,0.9581
RF,Random,0.9508,0.9525
RF,Random,0.9576,0.955
RF,Random,0.9332,0.936
RF,Cold,0.7294,0.6159
RF,Cold,0.7632,0.7041
RF,Cold,0.6809,0.6826
RF,Cold,0.7665,0.7575
RF,Cold,0.7209,0.5906
SVM,Random,0.94,0.9248
SVM,Random,0.946,0.9268
SVM,Random,0.9302,0.9065
SVM,Random,0.9406,0.9269
SVM,Random,0.9422,0.9169
SVM,Cold,0.7286,0.5699
SVM,Cold,0.7944,0.7448
SVM,Cold,0.6646,0.6701
SVM,Cold,0.5086,0.4736
SVM,Cold,0.757,0.686
